visit_id,event_time,user_id,page
V000078,2026-06-12T09:00:00,U0073,/post/data-engineering
V000236,2026-06-12T09:00:04,U0043,/about
V000268,2026-06-12T09:00:13,U0059,/home
V000232,2026-06-12T09:00:14,U0034,/post/idempotency
V000064,2026-06-12T09:00:16,U0019,/about
V000293,2026-06-12T09:01:11,U0038,/about
V000212,2026-06-12T09:01:15,U0094,/pricing
V000093,2026-06-12T09:01:50,U0098,/pricing
V000125,2026-06-12T09:01:52,U0020,/pricing
V000105,2026-06-12T09:01:54,U0102,/post/idempotency
V000135,2026-06-12T09:01:54,U0033,/post/data-engineering
V000242,2026-06-12T09:02:50,U0051,/home
V000262,2026-06-12T09:02:51,U0018,/post/s3-full-load
V000230,2026-06-12T09:03:05,U0059,/post/data-engineering
V000205,2026-06-12T09:03:26,U0024,/post/data-engineering
V000265,2026-06-12T09:03:27,U0081,/home
V000226,2026-06-12T09:03:46,U0011,/post/s3-full-load
V000194,2026-06-12T09:03:55,U0103,/post/s3-full-load
V000050,2026-06-12T09:04:01,U0028,/post/idempotency
V000022,2026-06-12T09:04:04,U0080,/post/data-engineering
V000285,2026-06-12T09:04:08,U0063,/post/idempotency
V000043,2026-06-12T09:04:26,U0008,/post/s3-full-load
V000199,2026-06-12T09:04:32,U0034,/home
V000075,2026-06-12T09:04:35,U0027,/about
V000007,2026-06-12T09:04:46,U0031,/home
V000224,2026-06-12T09:04:49,U0081,/post/s3-full-load
V000167,2026-06-12T09:04:57,U0086,/post/data-engineering
V000297,2026-06-12T09:05:05,U0075,/home
V000294,2026-06-12T09:05:13,U0105,/pricing
V000277,2026-06-12T09:05:14,U0062,/post/s3-full-load
V000053,2026-06-12T09:05:30,U0022,/about
V000198,2026-06-12T09:05:43,U0078,/post/data-engineering
V000237,2026-06-12T09:05:43,U0061,/post/idempotency
V000116,2026-06-12T09:05:47,U0107,/post/s3-full-load
V000087,2026-06-12T09:05:51,U0019,/home
V000292,2026-06-12T09:05:51,U0120,/about
V000006,2026-06-12T09:05:52,U0056,/about
V000197,2026-06-12T09:06:02,U0103,/post/idempotency
V000240,2026-06-12T09:06:12,U0034,/home
V000174,2026-06-12T09:06:25,U0051,/about
V000132,2026-06-12T09:07:00,U0068,/post/s3-full-load
V000073,2026-06-12T09:07:04,U0062,/post/s3-full-load
V000186,2026-06-12T09:07:09,U0011,/post/idempotency
V000215,2026-06-12T09:07:15,U0085,/post/s3-full-load
V000204,2026-06-12T09:07:28,U0021,/post/idempotency
V000185,2026-06-12T09:07:42,U0118,/post/data-engineering
V000016,2026-06-12T09:08:02,U0074,/post/idempotency
V000117,2026-06-12T09:08:11,U0117,/about
V000051,2026-06-12T09:08:49,U0095,/post/data-engineering
V000143,2026-06-12T09:08:55,U0069,/post/data-engineering
V000130,2026-06-12T09:08:56,U0003,/home
V000284,2026-06-12T09:09:06,U0002,/about
V000055,2026-06-12T09:09:20,U0105,/about
V000165,2026-06-12T09:09:21,U0054,/home
V000133,2026-06-12T09:09:30,U0056,/post/data-engineering
V000255,2026-06-12T09:09:30,U0117,/pricing
V000298,2026-06-12T09:09:40,U0096,/pricing
V000172,2026-06-12T09:09:45,U0033,/post/data-engineering
V000241,2026-06-12T09:09:49,U0052,/pricing
V000127,2026-06-12T09:09:58,U0079,/pricing
V000092,2026-06-12T09:10:00,U0089,/pricing
V000281,2026-06-12T09:10:03,U0043,/post/idempotency
V000082,2026-06-12T09:10:08,U0082,/post/idempotency
